condition,group,scale,anisotropy_level,shift_level,image_id,rgb,rot_err_deg,trans_err_mm,add_mm,reproj_official_px,flip_gt_90,flip_gt_120,flip_gt_150,flip_gt_170,J_gt_px,J_pred_px,delta_J_px,res_rms_px,res_meannorm_px,res_coherent_px,res_lambda_max,res_lambda_min,res_anisotropy,res_max_px,res_median_px,kp_err_median_px,flag_solver_divergence,flag_catastrophic_kp,flag_pnp_exception,in_clean18
ISO_S05,grid,0.5,ISOTROPIC,ZERO,39,color_00043.png,1.5464,0.98,1.3606,0.3083,0,0,0,0,1.106241,1.057649,0.048592,1.211735,1.106244,0.000000,0.829851,0.638451,1.2998,2.2297,1.0289,1.0289,0,0,0,1
ISO_S10,grid,1,ISOTROPIC,ZERO,20,color_00024.png,178.6665,2751.14,2752.5611,1.0464,1,1,1,1,2.037172,1.852925,0.184247,2.423470,2.037171,0.000000,4.960239,0.912967,5.4331,4.2903,2.1127,2.1127,0,0,0,1
ISO_S10,grid,1,ISOTROPIC,ZERO,21,color_00025.png,180.0000,2775.23,2776.5865,0.8999,1,1,1,1,2.158325,2.183309,-0.024984,2.423470,2.158322,0.000000,4.220902,1.652304,2.5546,3.8598,2.6650,2.6650,0,0,0,1
ISO_S10,grid,1,ISOTROPIC,ZERO,22,color_00026.png,167.6721,1413.06,1415.7253,26343.4178,1,1,1,0,2.275165,1536.402163,-1534.126997,2.423470,2.275165,0.000000,3.764063,2.109143,1.7846,3.3889,2.4317,2.4317,1,0,0,0
ISO_S10,grid,1,ISOTROPIC,ZERO,23,color_00027.png,179.7794,2788.29,2789.6088,0.8585,1,1,1,1,2.219628,2.083982,0.135646,2.423470,2.219632,0.000000,3.326184,2.547022,1.3059,3.4722,2.4760,2.4760,0,0,0,0
ISO_S10,grid,1,ISOTROPIC,ZERO,24,color_00028.png,178.1897,1410.99,1413.3953,4612.5612,1,1,1,1,2.323925,1111.841431,-1109.517507,2.423470,2.323925,0.000000,4.523514,1.349693,3.3515,3.9057,2.2352,2.2352,1,0,0,1
ISO_S10,grid,1,ISOTROPIC,ZERO,25,color_00029.png,6.0843,16.94,17.1924,1.1692,0,0,0,0,2.294352,1.644069,0.650283,2.423470,2.294353,0.000000,4.432242,1.440964,3.0759,3.4601,2.3076,2.3076,0,0,0,1
ISO_S10,grid,1,ISOTROPIC,ZERO,26,color_00030.png,4.3853,24.30,24.3784,0.7437,0,0,0,0,2.176185,2.071559,0.104625,2.423470,2.176181,0.000000,3.704664,2.168543,1.7084,4.4056,1.9726,1.9726,0,0,0,1
ISO_S10,grid,1,ISOTROPIC,ZERO,27,color_00031.png,3.1443,41.25,41.2874,0.8191,0,0,0,0,2.204401,1.803031,0.401371,2.423470,2.204403,0.000000,4.208611,1.664595,2.5283,4.0568,1.9380,1.9380,0,0,0,1
ISO_S10,grid,1,ISOTROPIC,ZERO,28,color_00032.png,179.0299,2481.65,2482.9661,1.0766,1,1,1,1,2.194943,2.467301,-0.272358,2.423470,2.194942,0.000000,3.556467,2.316739,1.5351,4.2005,1.9369,1.9369,0,0,0,1
