condition,group,sigma,image_id,rgb,rot_err_deg,trans_err_mm,add_mm,reproj_official_px,flip_gt_90,flip_gt_120,flip_gt_150,flip_gt_170,J_gt_px,J_pred_px,delta_J_px,res_rms_px,res_meannorm_px,res_coherent_px,res_median_px,res_p90_px,kp_err_median_px,flag_solver_divergence,flag_catastrophic_kp,flag_pnp_exception,in_clean18
SIG_S025,synthetic,0.25,25,color_00029.png,0.1053,1.65,1.7004,0.1547,0,0,0,0,0.298733,0.210785,0.087948,0.314654,0.298734,0.039950,0.2717,0.4171,0.2717,0,0,0,1
SIG_S025,synthetic,0.25,26,color_00030.png,0.0000,3.05,3.0622,0.0988,0,0,0,0,0.292153,0.277949,0.014204,0.325598,0.292150,0.025403,0.2886,0.4333,0.2886,0,0,0,1
SIG_S025,synthetic,0.25,27,color_00031.png,0.0000,5.62,5.6296,0.1975,0,0,0,0,0.324075,0.238581,0.085495,0.359113,0.324078,0.162264,0.2941,0.4960,0.2941,0,0,0,1
SIG_S025,synthetic,0.25,28,color_00032.png,0.0000,5.08,5.0801,0.1666,0,0,0,0,0.280449,0.235920,0.044530,0.339136,0.280448,0.157376,0.2478,0.5147,0.2478,0,0,0,1
SIG_S025,synthetic,0.25,29,color_00033.png,0.0000,2.42,2.4332,0.1116,0,0,0,0,0.339123,0.290957,0.048166,0.362891,0.339125,0.061594,0.3724,0.4746,0.3724,0,0,0,1
SIG_S025,synthetic,0.25,30,color_00034.png,0.0000,8.28,8.2846,0.1294,0,0,0,0,0.304282,0.269392,0.034890,0.332856,0.304285,0.071637,0.2720,0.4507,0.2720,0,0,0,1
SIG_S025,synthetic,0.25,31,color_00035.png,0.1071,7.79,7.7926,0.2059,0,0,0,0,0.305740,0.138204,0.167536,0.331860,0.305737,0.135363,0.2445,0.4683,0.2445,0,0,0,1
SIG_S025,synthetic,0.25,32,color_00036.png,0.7004,5.76,5.7844,0.2214,0,0,0,0,0.386221,0.254253,0.131967,0.428370,0.386219,0.050828,0.3624,0.5630,0.3624,0,0,0,1
SIG_S025,synthetic,0.25,33,color_00037.png,0.3435,13.72,13.7249,0.2443,0,0,0,0,0.422142,0.283912,0.138230,0.472841,0.422143,0.105183,0.4312,0.6817,0.4312,0,0,0,1
SIG_S025,synthetic,0.25,34,color_00038.png,0.0000,0.45,0.4626,0.1076,0,0,0,0,0.298951,0.283093,0.015858,0.329892,0.298949,0.102868,0.2802,0.4525,0.2802,0,0,0,1
SIG_S025,synthetic,0.25,35,color_00039.png,0.0000,5.75,5.7519,0.1729,0,0,0,0,0.380536,0.325098,0.055439,0.438768,0.380539,0.118756,0.3667,0.7350,0.3667,0,0,0,1
SIG_S025,synthetic,0.25,36,color_00040.png,0.0000,2.57,2.6045,0.1842,0,0,0,0,0.341453,0.280188,0.061265,0.420907,0.341449,0.060535,0.2779,0.5609,0.2779,0,0,0,1
SIG_S025,synthetic,0.25,37,color_00041.png,0.0000,6.07,6.0768,0.1088,0,0,0,0,0.224737,0.167597,0.057140,0.242572,0.224739,0.044105,0.2137,0.3112,0.2137,0,0,0,1
SIG_S025,synthetic,0.25,38,color_00042.png,0.0000,0.40,0.4003,0.1732,0,0,0,0,0.244575,0.182400,0.062176,0.277867,0.244575,0.174546,0.2410,0.4115,0.2410,0,0,0,1
SIG_S025,synthetic,0.25,39,color_00043.png,0.0000,0.28,0.4059,0.1320,0,0,0,0,0.323319,0.307107,0.016211,0.363510,0.323321,0.090592,0.3616,0.4872,0.3616,0,0,0,1
SIG_S050,synthetic,0.5,20,color_00024.png,0.2582,12.16,12.1713,0.2898,0,0,0,0,0.531771,0.448010,0.083760,0.621258,0.531767,0.227265,0.3245,0.8782,0.3245,0,0,0,1
